Epoch 1, Loss: 1.929015874862671, Validation Loss: 0.7377503991127015
Epoch 2, Loss: 0.873086484670639, Validation Loss: 0.5943778279423714
Epoch 3, Loss: 0.7430434024333954, Validation Loss: 0.5371702927350998
Epoch 4, Loss: 0.6215542687475681, Validation Loss: 0.43321365177631377
Epoch 5, Loss: 0.7459304258227348, Validation Loss: 0.5200266014039516
Epoch 6, Loss: 0.6533716388791799, Validation Loss: 0.5527217483520508
Epoch 7, Loss: 0.474196954369545, Validation Loss: 0.5376814070343972
Epoch 8, Loss: 0.5429598882049322, Validation Loss: 0.4835761894285679
Epoch 9, Loss: 0.47915269307792185, Validation Loss: 0.3347528874874115
Epoch 10, Loss: 0.5557353990525007, Validation Loss: 0.39468212202191355
