Epoch 1, Loss: 2.55660150885582, Validation Loss: 2.2659656870365144
Epoch 2, Loss: 1.3808272725343704, Validation Loss: 1.6598495626449585
Epoch 3, Loss: 1.085959431231022, Validation Loss: 1.1059263515472413
Epoch 4, Loss: 1.1525580188632012, Validation Loss: 1.415152736902237
Epoch 5, Loss: 0.6113284304738045, Validation Loss: 0.8034943869709968
Epoch 6, Loss: 0.7903664422035217, Validation Loss: 0.9761965590715408
Epoch 7, Loss: 0.8131893193721771, Validation Loss: 1.0762520363926888
Epoch 8, Loss: 0.9904836884140968, Validation Loss: 1.0311627058684827
Epoch 9, Loss: 0.8187637083232403, Validation Loss: 1.2170664118230343
Epoch 10, Loss: 0.5796890249848365, Validation Loss: 1.0728977097570895
